doc_id,total,smelly,smell_ratio,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
기능요구사항,2914,2910,99.9,3,974,5,0,524,65,62,35,43,2,0,21,447,0,421,0,0,2361,81
[식품의약품안전청]CDISC_표준_e-CTD통합허가관리시스템_구축사업,118,117,99.2,15,18,46,0,36,28,14,26,3,18,0,0,6,0,2,0,0,111,4
[서울의료원]통합의료정보시스템_유지운영용역,93,92,98.9,5,29,39,0,24,12,7,14,4,21,0,2,3,0,2,0,0,89,3
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),58,58,100.0,3,9,21,0,17,13,6,19,1,9,0,0,2,0,2,0,0,57,3
제안요청서,57,57,100.0,16,6,23,0,15,16,5,17,3,11,0,0,0,0,0,0,0,51,5
[조달청]홈페이지_3.기능요구,283,49,17.3,0,0,7,1,0,31,4,10,0,2,0,0,1,0,0,0,0,0,2
한국산업기술진흥원_201301_클라우드 시범 풀 구축사업_응락수준 삭제 등 보완 필요,45,45,100.0,12,12,10,0,5,17,8,8,2,3,0,0,0,0,2,0,0,42,1
[법제처]2013국가입법지원사업,43,43,100.0,0,0,22,0,18,10,3,16,2,6,0,0,1,0,1,0,0,39,3
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),29,29,100.0,5,0,12,0,10,2,1,7,0,1,0,0,1,0,0,0,0,28,0
[대구광역시교육정보연구원]2013년_대구교육전산망센터_정보시스템_유지보수사업,17,17,100.0,5,7,10,0,9,2,5,5,2,4,0,0,1,0,0,0,0,14,2
[국가기록원]2013년 국가기록물 정리사업,16,16,100.0,3,4,9,0,6,7,1,4,2,0,0,0,1,0,0,0,0,16,2
[조달청]홈페이지_3.기능요약,178,14,7.9,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_11.프로젝트관리,16,14,87.5,0,0,8,1,0,3,2,8,0,2,0,0,1,0,0,0,0,1,0
[조달청]홈페이지_5.인터페이스요구,41,13,31.7,1,1,5,3,1,3,5,4,0,5,0,0,1,0,0,0,0,3,0
[조달청]홈페이지_9.품질요구,13,13,100.0,0,0,6,0,0,7,13,3,1,2,0,0,2,0,0,0,0,1,0
[경상북도개발공사]경북도청이전신도시_U-City_구축사업_실시계획_및_설계용역(기능 부분 제외),12,12,100.0,1,4,1,0,3,1,0,3,0,0,0,0,1,0,0,0,0,11,0
[조달청]홈페이지_9.품질요약,10,10,100.0,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_8.보안요구,11,10,90.9,0,1,3,0,1,6,5,5,1,0,0,0,0,0,0,0,0,2,1
[조달청]홈페이지_10.제약사항,9,9,100.0,0,0,4,1,0,3,3,3,0,2,0,0,1,0,0,0,0,2,3
[조달청]홈페이지_8.보안요약,11,7,63.6,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1
[조달청]홈페이지_6.데이터요구,6,5,83.3,1,1,2,0,1,1,1,3,0,1,0,0,0,0,0,0,0,2,0
[조달청]홈페이지_12.프로젝트지원,5,5,100.0,1,0,5,0,0,0,5,3,0,1,0,0,1,0,0,0,0,3,0
[근로복지공단]2013년 통합의료정보시스템 제1차 확대구축 사업,4,4,100.0,1,1,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,3,1
[조달청]홈페이지_10.제약요약,9,4,44.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
[조달청]홈페이지_4.성능요구,6,4,66.7,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0
[조달청]공공조달_데이터시스템_구축을_위한_정보화전략계획_수립_용역(응락수준제거필요),3,3,100.0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,3,0
[조달청]홈페이지_12.지원요약,3,3,100.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_5.인터페이스요약,38,2,5.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_4.성능요약,6,1,16.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_7.테스트요구,2,1,50.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[조달청]홈페이지_6.데이터요약,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_7.테스트요약,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[조달청]홈페이지_11.관리요약,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
